open,K,S0,sig,prem,sh,expiry,S_T,itm,premium_$,pnl_$,pnl_pct_of_sleeve,ticker
2016-10-28,1.7178909657886958,1.7640000581741333,0.23124388521425035,0.005993925356338124,58210.9120959777,2016-11-04,1.6892499923706055,True,348.91186202765033,-1318.3053239560413,-1.3183053239560414,NVDA
2016-11-04,1.6404113225657508,1.6892499923706055,0.25631565166975634,0.0063730784721278645,60156.67736412409,2016-11-11,2.1992499828338623,False,383.38322546404083,383.38322546404083,0.3833832254640408,NVDA
2016-11-11,1.9820897697757742,2.1992499828338623,0.95694952074721,0.03251309804360925,49980.116648659576,2016-11-18,2.3340001106262207,False,1625.0084328288958,1625.0084328288958,1.6250084328288956,NVDA
2016-11-18,2.1178493254536472,2.3340001106262207,0.9933728187840105,0.03188344715137074,47217.71223199734,2016-11-25,2.3540000915527344,False,1505.463432557519,1505.463432557519,1.505463432557519,NVDA
2016-11-25,2.116046581509416,2.3540000915527344,0.9831507816439817,0.03581974107855187,47257.93887234189,2016-12-02,2.211250066757202,False,1692.767134313318,1692.767134313318,1.692767134313318,NVDA
2016-12-02,1.984757927065229,2.211250066757202,0.9982632760239675,0.03420120208521662,50383.97813473678,2016-12-09,2.2955000400543213,False,1723.192618043268,1723.192618043268,1.7231926180432682,NVDA
2016-12-09,2.063860157293059,2.2955000400543213,0.9811933294778612,0.03485522104799155,48452.89524420062,2016-12-16,2.5102500915527344,False,1688.836374151791,1688.836374151791,1.6888363741517909,NVDA
2016-12-16,2.40953813772958,2.5102500915527344,0.3595678620078859,0.013379086861477006,41501.729495025276,2016-12-23,2.744499921798706,False,555.2552438154654,555.2552438154654,0.5552552438154654,NVDA
2016-12-23,2.640481854765633,2.744499921798706,0.37807948228137406,0.013736834914998242,37871.875475878216,2016-12-30,2.6684999465942383,False,520.2397013335095,520.2397013335095,0.5202397013335095,NVDA
2016-12-30,2.537538162617753,2.6684999465942383,0.49599046692429627,0.017648512046486677,39408.27431609496,2017-01-06,2.577500104904175,False,695.4974039988534,695.4974039988534,0.6954974039988534,NVDA
2017-01-06,2.427775043048902,2.577500104904175,0.5318220651925781,0.02055966960817323,41189.977747862424,2017-01-13,2.585750102996826,False,846.8523336640587,846.8523336640587,0.8468523336640588,NVDA
