open,K,S0,sig,prem,sh,expiry,S_T,itm,premium_$,pnl_$,pnl_pct_of_sleeve,ticker
2016-11-18,1.8939091214662473,2.3340001106262207,1.1125775570380918,0.09097530145611299,52800.84396160514,2016-12-16,2.5102500915527344,False,4803.572696544211,4803.572696544211,4.803572696544211,NVDA
2016-12-16,2.2911716339193617,2.5102500915527344,0.40271600544883224,0.03462239635192418,43645.79175106858,2017-01-20,2.600250005722046,False,1511.1219010990392,1511.1219010990392,1.511121901099039,NVDA
2017-01-20,2.3118243089599813,2.600250005722046,0.5539160718324778,0.04791271090493437,43255.88221061095,2017-02-17,2.6807498931884766,False,2072.506579294896,2072.506579294896,2.072506579294896,NVDA
2017-02-17,2.4859945481986445,2.6807498931884766,0.3532554321160879,0.02981465181214307,40225.34967844566,2017-03-17,2.651750087738037,False,1199.3047946845584,1199.3047946845584,1.1993047946845585,NVDA
2017-03-17,2.362383487351395,2.651750087738037,0.4976125241730569,0.04802460380178025,42330.12994520876,2017-04-21,2.5420000553131104,False,2032.8877194965248,2032.8877194965248,2.0328877194965247,NVDA
2017-04-21,2.3450392562431834,2.5420000553131104,0.3697204395097327,0.030465240038855288,42643.20937646166,2017-05-19,3.4000000953674316,False,1299.135609681069,1299.135609681069,1.299135609681069,NVDA
2017-05-19,2.9188549475838514,3.4000000953674316,0.7613429139589233,0.08622269156392727,34260.01010525627,2017-06-16,3.7904999256134033,False,2953.9902842825427,2953.9902842825427,2.9539902842825425,NVDA
2017-06-16,3.420981786033136,3.7904999256134033,0.4373066080675717,0.05976831294978436,29231.374574477602,2017-07-21,4.202499866485596,False,1747.109943519747,1747.109943519747,1.7471099435197472,NVDA
2017-07-21,3.8165869295544406,4.202499866485596,0.44628376761872174,0.06144945350275611,26201.420757806318,2017-08-18,4.037499904632568,False,1610.062986562968,1610.062986562968,1.610062986562968,NVDA
2017-08-18,3.648744814843964,4.037499904632568,0.4826170117898401,0.06243764532074236,27406.68505870187,2017-09-15,4.502749919891357,False,1711.2088811125166,1711.2088811125166,1.7112088811125163,NVDA
2017-09-15,4.152020387472123,4.502749919891357,0.3343115449537965,0.05458641365998284,24084.660157674,2017-10-20,4.922500133514404,False,1314.6952222269006,1314.6952222269006,1.3146952222269006,NVDA
2017-10-20,4.6519944668759345,4.922500133514404,0.25605014218281036,0.04021992455836707,21496.156264165853,2017-11-17,5.283999919891357,False,864.5737832396204,864.5737832396204,0.8645737832396204,NVDA
2017-11-17,4.940912663245937,5.283999919891357,0.31300646360092815,0.051789570325687276,20239.175799214572,2017-12-15,4.789000034332275,True,1048.178218387371,-2026.408184317078,-2.026408184317078,NVDA
2017-12-15,4.348611812034821,4.789000034332275,0.42693679884818053,0.07027402426411039,22995.844265346732,2018-01-19,5.752749919891357,False,1616.01051787668,1616.01051787668,1.6160105178766802,NVDA
2018-01-19,5.360409277828998,5.752749919891357,0.3219679906136659,0.05964397703558624,18655.29194078641,2018-02-16,6.0960001945495605,False,1112.6758041084217,1112.6758041084217,1.1126758041084217,NVDA
2018-02-16,5.372025949658344,6.0960001945495605,0.615378222598757,0.12242607548919249,18614.951032833324,2018-03-16,6.26200008392334,False,2278.955400373274,2278.955400373274,2.2789554003732744,NVDA
2018-03-16,5.832629143659383,6.26200008392334,0.2969877484777043,0.06563310460371777,17144.926848076637,2018-04-20,5.717750072479248,True,1125.2747772429032,-844.318494515498,-0.844318494515498,NVDA
2018-04-20,5.035838624199478,5.717750072479248,0.6032129101965177,0.11554000102526082,19857.66571618377,2018-05-18,6.148499965667725,False,2294.3547172071594,2294.3547172071594,2.2943547172071597,NVDA
2018-05-18,5.68864379349338,6.148499965667725,0.3645893179689111,0.07068440236520344,17578.88235406462,2018-06-15,6.631499767303467,False,1242.5527934452782,1242.5527934452782,1.2425527934452782,NVDA
2018-06-15,6.328648199627204,6.631499767303467,0.1942224762201501,0.044756336842156165,15801.162720008771,2018-07-20,6.272250175476074,True,707.2021611944331,-183.95219550455204,-0.18395219550455202,NVDA
2018-07-20,5.800120372503249,6.272250175476074,0.3582295457955732,0.07271879639027154,17241.02149225593,2018-08-17,6.120500087738037,False,1253.7463314556546,1253.7463314556546,1.2537463314556545,NVDA
2018-08-17,5.713407895885249,6.120500087738037,0.28748512840725815,0.06200805966662049,17502.688731889633,2018-09-21,6.586249828338623,False,1085.3077672132986,1085.3077672132986,1.0853077672132985,NVDA
2018-09-21,6.2507436982164775,6.586249828338623,0.23657498759618775,0.04958797408201882,15998.096359083314,2018-10-19,5.729249954223633,True,793.3131876158631,-7549.593979440791,-7.549593979440791,NVDA
2018-10-19,5.06795455265647,5.729249954223633,0.580344835147091,0.1110212147326977,19731.82651126636,2018-11-16,4.110750198364258,True,2190.65134817564,-16696.738906547038,-16.696738906547036,NVDA
2018-11-16,3.273728938879423,4.110750198364258,1.13302785901518,0.18311765452735423,30546.206441340066,2018-12-21,3.2392499446868896,True,5593.5496782465525,4540.3472037516685,4.540347203751669,NVDA
2018-12-21,2.8439842878676336,3.2392499446868896,0.6525076190099651,0.06732367859477882,35161.93828024913,2019-01-18,3.9232499599456787,False,2367.2310315489426,2367.2310315489426,2.3672310315489424,NVDA
2019-01-18,3.500068739460492,3.9232499599456787,0.5497176211576166,0.06974676866143997,28570.86744399603,2019-02-15,3.933500051498413,False,1992.725682073058,1992.725682073058,1.992725682073058,NVDA
2019-02-15,3.3569014397249277,3.933500051498413,0.7957239781511929,0.10476458380317889,29789.376243406845,2019-03-15,4.245250225067139,False,3120.8716038968228,3120.8716038968228,3.120871603896823,NVDA
2019-03-15,3.8730644774550194,4.245250225067139,0.3882379991108756,0.05898129909980928,25819.348111062107,2019-04-18,4.65749979019165,False,1522.85869350065,1522.85869350065,1.52285869350065,NVDA
2019-04-18,4.370709546993582,4.65749979019165,0.28868793986216623,0.04309861051625747,22879.58028892256,2019-05-17,3.913249969482422,True,986.078119647715,-9480.40501295546,-9.48040501295546,NVDA
2019-05-17,3.569230023225991,3.913249969482422,0.3894217280256895,0.05454432440246895,28017.247235194052,2019-06-21,3.7939999103546143,False,1528.1818220606008,1528.1818220606008,1.528181822060601,NVDA
2019-06-21,3.4580405027230885,3.7939999103546143,0.43920522666484485,0.05307849514706834,28918.111260192996,2019-07-19,4.210999965667725,False,1534.9298281865363,1534.9298281865363,1.5349298281865364,NVDA
2019-07-19,3.9230631380461114,4.210999965667725,0.3228649740781938,0.04378632381226976,25490.28564699705,2019-08-16,3.989000082015991,False,1116.125901406665,1116.125901406665,1.1161259014066651,NVDA
2019-08-16,3.521885655021766,3.989000082015991,0.5403857839922522,0.07897667801406832,28393.88037979387,2019-09-20,4.317249774932861,False,2242.4543483249527,2242.4543483249527,2.2424543483249524,NVDA
2019-09-20,3.9328249899969308,4.317249774932861,0.4311443266786188,0.060856623645972316,25427.01499668767,2019-10-18,4.762249946594238,False,1547.4022820939156,1547.4022820939156,1.5474022820939155,NVDA
2019-10-18,4.367601423286899,4.762249946594238,0.3980664443707564,0.061693321285526126,22895.862123962677,2019-11-15,5.104750156402588,False,1412.521778122738,1412.521778122738,1.412521778122738,NVDA
2019-11-15,4.766075823063508,5.104750156402588,0.28671094626903365,0.0515719657876807,20981.62171824674,2019-12-20,5.984250068664551,False,1082.0634774234793,1082.0634774234793,1.0820634774234794,NVDA
2019-12-20,5.611939950091026,5.984250068664551,0.3068759884677868,0.05586268931223334,17819.15004246936,2020-01-17,6.23199987411499,False,995.4256426305353,995.4256426305353,0.9954256426305353,NVDA
2020-01-17,5.885725218934546,6.23199987411499,0.24257738895126307,0.05176080641310133,16990.259701267933,2020-02-21,7.351749897003174,False,879.4295433056463,879.4295433056463,0.8794295433056463,NVDA
2020-02-21,6.545264846202621,7.351749897003174,0.5468116589493094,0.1335926834372593,15278.220568571369,2020-03-20,5.143750190734863,True,2041.0584839017788,-19371.591552419937,-19.371591552419936,NVDA
2020-03-20,4.02405823854737,5.143750190734863,1.3790498755915077,0.25855536416458585,24850.534975383114,2020-04-17,7.308000087738037,False,6425.239120244959,6425.239120244959,6.425239120244959,NVDA
2020-04-17,6.06514729403342,7.308000087738037,0.9411553604825732,0.2419989402397115,16487.64574907766,2020-05-15,8.490750312805176,False,3989.992798324578,3989.992798324578,3.989992798324578,NVDA
2020-05-15,7.487359291460563,8.490750312805176,0.5462378702276592,0.17008086178554555,13355.843643572893,2020-06-19,9.261249542236328,False,2271.5733967718784,2271.5733967718784,2.2715733967718785,NVDA
