open,K,S0,sig,prem,sh,expiry,S_T,itm,premium_$,pnl_$,pnl_pct_of_sleeve,ticker
2016-11-18,213.73365775441306,218.5,0.10371791313989387,0.6478665998461642,467.87202844253596,2016-12-16,225.0399932861328,False,303.1186602301936,303.1186602301936,0.3031186602301936,SPY
2016-12-16,220.9323817599299,225.0399932861328,0.0822891892088845,0.568525309436887,452.6271758055922,2017-01-20,226.74000549316406,False,257.3300051844185,257.3300051844185,0.2573300051844185,SPY
2017-01-20,223.93960931877174,226.74000549316406,0.059706304587437975,0.3948588731330196,446.54896158925067,2017-02-17,235.08999633789062,False,176.32381977185156,176.32381977185156,0.17632381977185158,SPY
2017-02-17,232.27899877470497,235.08999633789062,0.05914847142277549,0.39519629267300077,430.5167515251488,2017-03-17,237.02999877929688,False,170.13862413636224,170.13862413636224,0.17013862413636224,SPY
2017-03-17,232.9726804837208,237.02999877929688,0.0748352595300735,0.5684568347814778,429.23487763616816,2017-04-21,234.58999633789062,False,244.00149991887108,244.00149991887108,0.24400149991887107,SPY
2017-04-21,231.48321174634287,234.58999633789062,0.06360087625381336,0.43540549513497556,431.9967709346415,2017-05-19,238.30999755859375,False,188.0937679455082,188.0937679455082,0.18809376794550822,SPY
2017-05-19,234.01701926420833,238.30999755859375,0.08640496661730329,0.587315285602325,427.3193476030847,2017-06-16,242.63999938964844,False,250.97118468090488,250.97118468090488,0.25097118468090485,SPY
2017-06-16,239.8849336727028,242.63999938964844,0.05179222625943741,0.4013631364815038,416.8665304192853,2017-07-21,246.8800048828125,False,167.31485814324657,167.31485814324657,0.16731485814324656,SPY
2017-07-21,242.89759688926267,246.8800048828125,0.07625699049203245,0.550335700530141,411.69612742439,2017-08-18,242.7100067138672,True,226.57107669164787,149.34092793846463,0.14934092793846462,SPY
2017-08-18,238.42735465947618,242.7100067138672,0.08473201061222246,0.5864485990072047,419.41496244346956,2017-09-15,249.19000244140625,False,245.9653171276321,245.9653171276321,0.2459653171276321,SPY
2017-09-15,245.27383915335457,249.19000244140625,0.06810850234071875,0.5546801868336377,407.70756614396277,2017-10-20,257.1099853515625,False,226.147308962221,226.147308962221,0.226147308962221,SPY
2017-10-20,255.43652108890691,257.1099853515625,0.03443433007218646,0.25735252076741516,391.4866972573359,2017-11-17,257.8599853515625,False,100.75008838608531,100.75008838608531,0.10075008838608532,SPY
2017-11-17,254.82020016228384,257.8599853515625,0.05839569687943836,0.4279145925311218,392.43356663370633,2017-12-15,266.510009765625,False,167.9280497615973,167.9280497615973,0.1679280497615973,SPY
