open,K,S0,sig,prem,sh,expiry,S_T,itm,premium_$,pnl_$,pnl_pct_of_sleeve,ticker
2016-10-28,210.94137028377668,212.5399932861328,0.06741339899003593,0.20822472882364054,474.0653759168782,2016-11-04,208.5500030517578,True,98.71213434496919,-1034.9522714573588,-1.0349522714573587,SPY
2016-11-04,206.9448316841578,208.5500030517578,0.06892064768498991,0.2089050389588462,478.2194700063084,2016-11-11,216.4199981689453,False,99.90245701254665,99.90245701254665,0.09990245701254664,SPY
2016-11-11,213.91943586657052,216.4199981689453,0.10225250762627935,0.32235429885681927,463.0946682532656,2016-11-18,218.5,False,149.28055708911273,149.28055708911273,0.14928055708911273,SPY
2016-11-18,216.197251826908,218.5,0.10371791313989387,0.29507699654086,458.9060679738763,2016-11-25,221.52000427246094,False,135.41262423210716,135.41262423210716,0.13541262423210715,SPY
2016-11-25,218.95110545744433,221.52000427246094,0.10262134974806279,0.33114908320955466,453.7526456388966,2016-12-02,219.67999267578125,False,150.25977260723053,150.25977260723053,0.15025977260723053,SPY
2016-12-02,217.34190908193983,219.67999267578125,0.09435108440600665,0.3017649303051434,457.80357575662634,2016-12-09,226.50999450683594,False,138.1490641316438,138.1490641316438,0.1381490641316438,SPY
2016-12-09,224.7482728835853,226.50999450683594,0.0696160993809876,0.22919582329995025,443.3317814870401,2016-12-16,225.0399932861328,False,101.60979265295579,101.60979265295579,0.10160979265295578,SPY
2016-12-16,222.9587456480715,225.0399932861328,0.0822891892088845,0.26939020135920627,447.3458159551273,2016-12-23,225.7100067138672,False,120.51057943735017,120.51057943735017,0.12051057943735018,SPY
2016-12-23,223.88213211165177,225.7100067138672,0.08016046693220501,0.23524824420340396,446.0390457863986,2016-12-30,223.52999877929688,True,104.92990236741198,-52.13531318575053,-0.05213531318575053,SPY
2016-12-30,221.63978775677808,223.52999877929688,0.0836057438824832,0.24303965667495533,450.3164268143347,2017-01-06,227.2100067138672,False,109.44474976804855,109.44474976804855,0.10944474976804855,SPY
2017-01-06,225.28037316717177,227.2100067138672,0.07577213776105739,0.250337651504189,443.5250199898374,2017-01-13,227.0500030517578,False,111.03101188760438,111.03101188760438,0.11103101188760438,SPY
