strategy,since,through,sessions,trades_closed,assigned,premium_collected_$,realised_pnl_$,equity_$,return_pct,max_drawdown_pct,collateral_in_use_$
weekly,2026-09-22,2026-09-24,2,0,0,3137.95,0,500600.95,0.12,-0.04,455250.0
monthly,2026-09-22,2026-09-24,2,0,0,5873.95,0,500254.95,0.051,-0.032,440750.0
