strategy,since,through,sessions,trades_closed,assigned,premium_collected_$,realised_pnl_$,equity_$,return_pct,max_drawdown_pct,collateral_in_use_$
weekly,2026-09-22,2026-09-24,2,0,0,1168.1,0,498287.1,-0.343,-0.343,420500.0
monthly,2026-09-22,2026-09-24,2,0,0,3261.45,0,498235.45,-0.353,-0.353,416500.0
